,forecast_ppfd,actual_ppfd
2025-07-14 10:30:00,861.35,593.3333333333334
2025-07-14 11:00:00,835.02,589.5555555555555
2025-07-14 11:30:00,814.28,591.7777777777778
2025-07-14 12:00:00,576.14,563.8888888888888
2025-07-14 12:30:00,511.39,432.1111111111111
2025-07-14 13:00:00,450.96,368.5555555555556
2025-07-14 13:30:00,400.38,290.8333333333333
2025-07-14 14:00:00,411.45,286.11111111111114
2025-07-14 14:30:00,401.25,254.0
2025-07-14 15:00:00,326.47,322.5555555555556
2025-07-14 15:30:00,313.95,267.22222222222223
2025-07-14 16:00:00,255.63,157.0
2025-07-14 16:30:00,234.89,150.0
2025-07-14 17:00:00,200.31,106.5
2025-07-14 17:30:00,120.06,31.333333333333332
2025-07-14 18:00:00,66.66,21.777777777777775
2025-07-14 18:30:00,56.84,2.111111111111111
2025-07-14 19:00:00,0.0,0.0
2025-07-14 19:30:00,0.0,0.0
2025-07-14 20:00:00,0.0,0.0
2025-07-14 20:30:00,0.0,0.0
2025-07-14 21:00:00,0.0,0.0
2025-07-14 21:30:00,0.0,0.0
2025-07-14 22:00:00,0.0,0.0
2025-07-14 22:30:00,0.0,0.0
2025-07-14 23:00:00,0.0,0.0
2025-07-14 23:30:00,0.0,0.0
2025-07-15 00:00:00,0.0,0.0
2025-07-15 00:30:00,0.0,0.0
2025-07-15 01:00:00,0.0,0.0
2025-07-15 01:30:00,0.0,0.0
2025-07-15 02:00:00,0.0,0.0
2025-07-15 02:30:00,0.0,0.0
2025-07-15 03:00:00,0.0,0.0
2025-07-15 03:30:00,0.0,0.0
2025-07-15 04:00:00,0.0,0.0
2025-07-15 04:30:00,0.0,0.0
2025-07-15 05:00:00,0.0,0.0
2025-07-15 05:30:00,0.0,0.3333333333333333
2025-07-15 06:00:00,3.76,10.444444444444445
2025-07-15 06:30:00,9.83,35.22222222222222
2025-07-15 07:00:00,103.0,73.66666666666667
2025-07-15 07:30:00,169.05,252.2222222222222
2025-07-15 08:00:00,200.18,439.11111111111114
2025-07-15 08:30:00,244.73,578.1111111111111
2025-07-15 09:00:00,341.84,708.4444444444445
2025-07-15 09:30:00,395.63,737.1111111111112
2025-07-15 10:00:00,413.93,926.0
